Scenario,Method,Metric,NSeeds,Mean,SD,CI95_Low,CI95_High
model_replace@0.3,FedAvg,MacroF1,10,0.4180708419212582,0.19915521512009401,0.2756037834215055,0.5605379004210109
model_replace@0.3,FedAvg,MacroFPR,10,0.12272600044736308,0.03430376776476641,0.09818656327541722,0.14726543761930894
model_replace@0.3,MultiKrum,MacroAUROC,10,0.9586833097479696,0.0006874144133788545,0.958191563100083,0.9591750563958561
model_replace@0.3,MultiKrum,MacroF1,10,0.6073703301196293,0.06152616519550156,0.5633571629480478,0.6513834972912107
model_replace@0.3,MultiKrum,MacroFPR,10,0.08060286338766205,0.01219851898007647,0.0718765685924345,0.0893291581828896
model_replace@0.3,RawTrust,MacroAUROC,10,0.8917712195356176,0.07041792233399986,0.8413972724886402,0.942145166582595
model_replace@0.3,RawTrust,MacroF1,10,0.4352650445143789,0.1729455111146273,0.311547278778847,0.5589828102499108
model_replace@0.3,RawTrust,MacroFPR,10,0.10922210489429598,0.028909191333660177,0.0885417152272239,0.12990249456136807
model_replace@0.3,TrimmedMean,MacroAUROC,10,0.957445763778809,0.002211989909199227,0.9558634015212868,0.9590281260363311
model_replace@0.3,TrimmedMean,MacroF1,10,0.6411360220985302,0.04573775080224717,0.6084172061977688,0.6738548379992915
model_replace@0.3,TrimmedMean,MacroFPR,10,0.07517989476993567,0.00493733883834664,0.07164793533471996,0.07871185420515138
sign_flip@0.3,AgriTrust-ACFL,MacroAUROC,10,0.9450902140490157,0.015289398207151774,0.9341528374531239,0.9560275906449075
sign_flip@0.3,AgriTrust-ACFL,MacroF1,10,0.50466654233509,0.060849680010367675,0.4611373035124928,0.5481957811576872
sign_flip@0.3,AgriTrust-ACFL,MacroFPR,10,0.10374957739189002,0.011360481204343336,0.09562277870701227,0.11187637607676776
sign_flip@0.3,Async-Stale,MacroAUROC,10,0.6024728220635595,0.19687938511595107,0.4616337942741259,0.743311849852993
sign_flip@0.3,Async-Stale,MacroF1,10,0.17168087753513656,0.09832001957657328,0.10134697253412607,0.24201478253614706
sign_flip@0.3,Async-Stale,MacroFPR,10,0.15841240839209852,0.009064547281732374,0.15192802189445342,0.16489679488974363
sign_flip@0.3,CoordMedian,MacroAUROC,10,0.9247159517891435,0.05233432952220343,0.8872782277451657,0.9621536758331212
sign_flip@0.3,CoordMedian,MacroF1,10,0.48838197240298103,0.09358397821115536,0.4214360272997687,0.5553279175061934
sign_flip@0.3,CoordMedian,MacroFPR,10,0.09226366240240351,0.0184331631719257,0.07907737182815652,0.1054499529766505
sign_flip@0.3,FedAvg,MacroAUROC,10,0.5559139245436089,0.1104624740157451,0.47689383090388804,0.6349340181833297
sign_flip@0.3,FedAvg,MacroF1,10,0.14644735570458672,0.12967708628113286,0.053681956484932514,0.23921275492424093
sign_flip@0.3,FedAvg,MacroFPR,10,0.15896335179759205,0.011513842789551301,0.15072684484362248,0.16719985875156163
sign_flip@0.3,MultiKrum,MacroAUROC,10,0.9582845764945731,0.001440230429877673,0.9572542977103455,0.9593148552788007
sign_flip@0.3,MultiKrum,MacroF1,10,0.5830363220960384,0.07001483014788014,0.5329507298281517,0.6331219143639251
sign_flip@0.3,MultiKrum,MacroFPR,10,0.0822060324151354,0.011467895265751779,0.07400239433962888,0.09040967049064191
sign_flip@0.3,RawTrust,MacroAUROC,10,0.6964217334666751,0.17570329169023594,0.5707311703511811,0.8221122965821691
sign_flip@0.3,RawTrust,MacroF1,10,0.2117235619915237,0.1335942530448518,0.11615599047553514,0.30729113350751225
sign_flip@0.3,RawTrust,MacroFPR,10,0.1519775445998511,0.016392147078012047,0.1402513089836186,0.16370378021608362
sign_flip@0.3,TrimmedMean,MacroAUROC,10,0.8651713197678914,0.1046865841235459,0.7902830488507835,0.9400595906849993
sign_flip@0.3,TrimmedMean,MacroF1,10,0.3654970107006615,0.11805068831067489,0.28104863556094317,0.4499453858403798
sign_flip@0.3,TrimmedMean,MacroFPR,10,0.11544505426236056,0.029324659865570726,0.09446745631176542,0.1364226522129557
