Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,Seed,Scenario
MultiKrum,0.5902154273801251,0.6660815213509008,0.6470175187419062,0.6660815213509008,0.5073192952447295,0.958197253636754,0.081738312515772,0.8740129258401977,31.46296858787537,17.28973388671875,22662,0.3,model_replace,"4,7,8",73,model_replace@0.3
Async-Stale,0.7497984711605281,0.3146380270485282,0.2240459711515471,0.3146380270485282,0.2614549748852926,0.7830002318418771,0.1475152786956384,3.928019897661229,26.261159896850582,13.831787109375,22662,0.3,model_replace,"4,7,8",73,model_replace@0.3
RawTrust,0.7447394023627519,0.2786332640908965,0.2262694942183402,0.2786332640908965,0.2491784046624247,0.8951937974738952,0.1525931385807832,3.388485671681661,25.871819496154785,13.831787109375,22662,0.3,model_replace,"4,7,8",73,model_replace@0.3
AgriTrust-ACFL,0.8109798471160529,0.5491455593739302,0.8821699738972115,0.5491455593739302,0.5172504560703146,0.9578428785870292,0.1091422490415925,0.6330365436083489,31.911314487457275,13.831787109375,22662,0.3,model_replace,"4,7,8",73,model_replace@0.3
FedAvg,0.7930507296733843,0.481684360641911,0.6039083335460584,0.481684360641911,0.5140243831198753,0.922927152575934,0.1229344335428647,1.649706332786618,31.933497428894043,17.28973388671875,22662,0.3,collusive_scale,"4,7,8",73,collusive_scale@0.3
CoordMedian,0.8349687282835302,0.6186414200892635,0.8448910834715613,0.6186414200892635,0.6207124429272441,0.954412441514978,0.0939148485833061,0.3540961390238887,31.91979503631592,17.28973388671875,22662,0.3,collusive_scale,"4,7,8",73,collusive_scale@0.3
TrimmedMean,0.8040027797081306,0.566898127144211,0.6256604348548299,0.566898127144211,0.5668084215336523,0.938556949684222,0.1127176981179846,0.8443443766181936,32.005483627319336,17.28973388671875,22662,0.3,collusive_scale,"4,7,8",73,collusive_scale@0.3
MultiKrum,0.5902154273801251,0.6660815213509008,0.6470175187419062,0.6660815213509008,0.5073192952447295,0.958197253636754,0.081738312515772,0.8740129258401977,31.9519202709198,17.28973388671875,22662,0.3,collusive_scale,"4,7,8",73,collusive_scale@0.3
Async-Stale,0.7394857539958304,0.2433541515587434,0.2184072481521295,0.2433541515587434,0.2268004711889311,0.856778307507786,0.1566536486011297,3.97886547525994,24.88597869873047,13.831787109375,22662,0.3,collusive_scale,"4,7,8",73,collusive_scale@0.3
RawTrust,0.8140097289784572,0.5704354245033594,0.8690731079560953,0.5704354245033594,0.5413492724485357,0.953894671605132,0.1076243016797011,0.5244734831439165,24.5459303855896,13.831787109375,22662,0.3,collusive_scale,"4,7,8",73,collusive_scale@0.3
AgriTrust-ACFL,0.814593467685893,0.5528108932200154,0.7110466322769238,0.5528108932200154,0.5238375304431182,0.9578466579006392,0.1068577208007077,0.5699687361117804,31.39515781402588,13.831787109375,22662,0.3,collusive_scale,"4,7,8",73,collusive_scale@0.3
