Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,PoisonRatio,AttackType,Attackers,CleanContinuationMacroF1,AttackDamage
CoordMedian,0.5863238359972203,0.6233573219153037,0.5746711324383492,0.6233573219153037,0.49288095005276983,0.9548751071345248,0.08240923451106279,1.253088025592016,25.928226470947266,17.28973388671875,22662,0.3,sign_flip,"3,8,9",0.6384032484667285,0.14552229841395864
TrimmedMean,0.5829325920778319,0.5978284877783034,0.5830591547491365,0.5978284877783034,0.4538500809685447,0.8899874957667917,0.08294670940920852,3.1274188540794516,26.151058435440063,17.28973388671875,22662,0.3,sign_flip,"3,8,9",0.6633467654102335,0.20949668444168884
MultiKrum,0.5888533703961084,0.6237734922004509,0.7135335189684052,0.6237734922004509,0.49634952390918313,0.9575582128673408,0.08192567197278844,0.9727256325779143,25.71350932121277,17.28973388671875,22662,0.3,sign_flip,"3,8,9",0.5186064982865883,0.022256974377405203
Async-Stale,0.007699791521890201,0.16682751595088738,0.041256374594343996,0.16682751595088738,0.002814359307294322,0.4805944042935324,0.16665638035183217,15.819632591760959,20.035583972930908,13.831787109375,22662,0.3,sign_flip,"3,8,9",0.43349569551839107,0.4306813362110967
RawTrust,0.16825573314801945,0.3116723953149134,0.04000106825047416,0.3116723953149134,0.06689533746898388,0.5212863864328089,0.16011548721460886,13.219644001372881,20.322741270065308,13.831787109375,22662,0.3,sign_flip,"3,8,9",0.4824162611040084,0.4155209236350246
AgriTrust-ACFL,0.587324530924253,0.659109180344578,0.5297096644162497,0.659109180344578,0.5200094218150487,0.9542919747959974,0.0822453425572106,1.677165638581488,24.525736331939697,13.831787109375,22662,0.3,sign_flip,"3,8,9",0.5644208041754983,0.044411382360449614
FedAvg,0.7424322446143155,0.26313987706201775,0.4620145307923466,0.26313987706201775,0.23531738529548216,0.6626532914905505,0.15304949027897063,4.0427587885290635,25.993682146072388,17.28973388671875,22662,0.3,model_replace,"3,8,9",0.4981516167072207,0.26283423141173856
CoordMedian,0.6064489228630994,0.7113985606871834,0.7328484948727904,0.7113985606871834,0.6497975744256476,0.958407617876332,0.07909718603478379,0.542813231671167,25.874675512313843,17.28973388671875,22662,0.3,model_replace,"3,8,9",0.6384032484667285,-0.011394325958919094
TrimmedMean,0.6759416261292565,0.6917336451085979,0.7393226256289411,0.6917336451085979,0.6136637528106802,0.9594972047202798,0.0709375577008033,0.48362087767743883,25.67569088935852,17.28973388671875,22662,0.3,model_replace,"3,8,9",0.6633467654102335,0.04968301259955332
MultiKrum,0.5888533703961084,0.6237734922004509,0.7135335189684052,0.6237734922004509,0.49634952390918313,0.9575582128673408,0.08192567197278844,0.9727256325779143,25.981804847717285,17.28973388671875,22662,0.3,model_replace,"3,8,9",0.5186064982865883,0.022256974377405203
Async-Stale,0.7326754690757471,0.1921241050119332,0.19557334965155504,0.1921241050119332,0.17897778055390026,0.4023183251477504,0.16245056007139666,4.254541305523427,19.957173824310303,13.831787109375,22662,0.3,model_replace,"3,8,9",0.43349569551839107,0.25451791496449083
RawTrust,0.746184850590688,0.2891678806082052,0.22765117941386706,0.2891678806082052,0.25455799330795675,0.8781031644605841,0.15141952627278446,3.3700942755975745,20.974822759628296,13.831787109375,22662,0.3,model_replace,"3,8,9",0.4824162611040084,0.22785826779605167
