Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
RawTrust,5,3,2,False,0.39683065563440323,0.9989044684973322,0.6688157320022583,1.0,10.0,0.584070372747447,0.7087956609518802,2.142267942428589,,,,,
RawTrust,5,4,2,False,0.8429140746593475,0.040806662662852704,0.8038387298583984,1.0,10.0,0.3460065116946556,0.6095824814555868,0.5177583694458008,,,,,
RawTrust,5,5,0,False,0.7576924860477448,0.010436754467087786,0.502591609954834,1.0,10.0,0.21409824548530648,0.7021339137325525,0.2825877368450165,,,,,
RawTrust,5,6,2,False,0.7161486744880676,0.10527965387492669,0.3317432403564453,1.0,10.0,0.41673907816624023,0.5507353856608493,0.7887144684791565,,,,,
RawTrust,5,7,1,False,0.7214871346950531,0.9657543116970887,0.502591609954834,1.0,10.0,0.8259410252973546,0.8706763129372319,2.1767358779907227,,,,,
RawTrust,5,8,1,False,0.3575579971075058,0.9989044684973322,0.6688157320022583,1.0,10.0,0.5464505596665942,0.6757887759067004,2.1443545818328857,,,,,
RawTrust,5,9,0,False,0.8542830348014832,0.10146202070308391,0.8038387298583984,1.0,10.0,0.4432695274414337,0.5742898763163847,0.7758829593658447,,,,,
RawTrust,6,0,3,False,0.8082260489463806,0.7325184940025955,0.8201245069503784,1.0,10.0,0.7896851393217531,0.838952621441642,2.44592547416687,,,,,
RawTrust,6,1,3,False,0.8135630488395691,0.6134050500651628,0.6826443672180176,1.0,10.0,0.7378744437051763,0.8323893641663341,2.705806016921997,,,,,
RawTrust,6,2,0,False,0.8303941488265991,0.8191928925377492,0.8201245069503784,1.0,10.0,0.8425548378015867,0.8440112324186521,2.295135498046875,,,,,
RawTrust,6,3,2,False,0.3435766100883484,0.8668022883099852,0.6820729374885559,1.0,10.0,0.5170875861665909,0.6608686422555579,2.2225348949432373,,,,,
RawTrust,6,4,0,False,0.8401173949241638,0.0906945920633259,0.8171091079711914,1.0,10.0,0.4388797426153616,0.5669067967455305,0.5228659510612488,,,,,
RawTrust,6,5,1,False,0.7713916897773743,0.03075150966358406,0.5460872650146484,1.0,10.0,0.2990084675805305,0.601352552194547,0.2825681269168854,,,,,
