Method,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,MacroAUROC,MacroFPR,LogLoss,TrainSeconds,CommMB,Parameters,MaxConsecutiveBenignQuarantine,ProbationAdmitsMalicious,Seed,Scenario,MeanTrustMalicious,MeanTrustBenign,BenignFalseQuarantine,MaliciousQuarantineRecall
A5 +Similarity (duplicate-aware consensus),0.8212091730368312,0.5311503028970151,0.7287498129537197,0.5311503028970151,0.49792619031231683,0.957544095235454,0.10227685624628528,0.44030484006865744,19.283684968948364,,22662,0,0,9803,collusive_scale@0.3,0.48553185578030605,0.8447025839543842,0.0,
A6 +Gate (no probation),0.5882140375260597,0.6294300391243902,0.5760684224001567,0.6294300391243902,0.500794023057613,0.9572101425726963,0.08206422919418958,1.065672453262222,20.396839380264282,,22662,1,0,9803,collusive_scale@0.3,0.48021759953601184,0.8327109598829979,0.022222222222222223,0.8235294117647058
"A7 +Probation (full AgriTrust, symmetric memory)",0.5882140375260597,0.6294300391243902,0.5760684224001567,0.6294300391243902,0.500794023057613,0.9572157517068342,0.08206422919418958,1.0676284739949644,18.579168796539307,,22662,1,2,9803,collusive_scale@0.3,0.48021759953601184,0.8326697902023571,0.022222222222222223,0.7058823529411765
"A8 Full AgriTrust, asymmetric memory",0.838137595552467,0.6162761802625903,0.8425399785346334,0.6162761802625903,0.6333867056681195,0.9584990341482128,0.09192335095376526,0.3531098274519748,18.91084861755371,,22662,0,3,9803,collusive_scale@0.3,0.1402429974032849,0.7131235399946352,0.0,0.8235294117647058
A0 Staleness-weighted only,0.8308825573314802,0.5668559615828751,0.8615189000263613,0.5668559615828751,0.5521772208277139,0.9576528544188534,0.09566365806713435,0.35598197015626504,21.851996898651123,,22662,0,0,9804,adaptive_slow_drift@0.3,1.0,1.0,0.0,
A1 +Direction,0.8327449617790132,0.591109910112367,0.8079201682787356,0.591109910112367,0.5871098728177849,0.9578176801251095,0.09056615359697895,0.3593711277717193,21.38695454597473,,22662,0,0,9804,adaptive_slow_drift@0.3,0.9703808157877912,0.7679169475690536,0.0,
A2 +Norm,0.8343293954134816,0.5848699142449173,0.8182051480651288,0.5848699142449173,0.5781842417607087,0.9577504352577987,0.09107991329911447,0.3577316924904158,21.01324439048767,,22662,0,0,9804,adaptive_slow_drift@0.3,0.9285450454015234,0.626574577514981,0.0,
A3 +Reliability+History,0.8338846421125782,0.5789546998939946,0.8114243532808064,0.5789546998939946,0.5693295072903363,0.9576722098492215,0.09211826899911642,0.35592475613802893,22.922128915786743,,22662,0,0,9804,adaptive_slow_drift@0.3,0.9502276447437092,0.7679523652717901,0.0,
A4 +Clipping,0.8339680333564976,0.5790351245361051,0.8115069184319244,0.5790351245361051,0.5694509597966452,0.9576681203338312,0.09206696063585322,0.355963234974464,21.32400941848755,,22662,0,0,9804,adaptive_slow_drift@0.3,0.9502847070283625,0.7679253769286225,0.0,
A5 +Similarity (duplicate-aware consensus),0.8289645587213342,0.5563266244004562,0.8806548077037967,0.5563266244004562,0.5391861995164445,0.9577004127762713,0.09729129363545246,0.37068103758218357,22.259811639785767,,22662,0,0,9804,adaptive_slow_drift@0.3,0.4140951538085937,0.7935132538886067,0.0,
A6 +Gate (no probation),0.8229881862404448,0.5513955064429547,0.8892158149646764,0.5513955064429547,0.5327545563146323,0.9575605138256594,0.10132139714308448,0.4083535389649669,21.260554313659668,,22662,0,0,9804,adaptive_slow_drift@0.3,0.4140951538085937,0.7919843520847103,0.0,0.85
"A7 +Probation (full AgriTrust, symmetric memory)",0.8232105628908964,0.5501308764005906,0.8877707557173565,0.5501308764005906,0.5308256491118388,0.9575522075530247,0.10108998622704148,0.4010749410459297,21.978339195251465,,22662,0,3,9804,adaptive_slow_drift@0.3,0.4140951538085937,0.7910820326065992,0.0,0.7
"A8 Full AgriTrust, asymmetric memory",0.8303822098679638,0.5789689461411139,0.8761445938868406,0.5789689461411139,0.5781810981855453,0.9577833619589758,0.09700146457999526,0.37285468270861855,20.974575757980347,,22662,1,3,9804,adaptive_slow_drift@0.3,0.11917448571874997,0.6281299704458569,0.021739130434782608,0.85
A0 Staleness-weighted only,0.828353022932592,0.6166075176759638,0.8129891841889277,0.6166075176759638,0.5656613412366928,0.9580211888215602,0.09735697335863887,0.3938984057218644,21.247846126556396,,22662,0,0,10800,clean,,1.0,0.0,
A1 +Direction,0.83135510771369,0.6275063812256246,0.7850178124493196,0.6275063812256246,0.5771544309910939,0.9579111771347469,0.09279625003366075,0.3587358517989039,20.900444746017456,,22662,0,0,10800,clean,,0.7860977539217389,0.0,
A2 +Norm,0.8314384989576095,0.6256950811068553,0.768422585382139,0.6256950811068553,0.5722538035414119,0.9582153057587998,0.0899034844672968,0.35931375309579733,21.471522569656372,,22662,0,0,10800,clean,,0.6734912796049055,0.0,
A3 +Reliability+History,0.828408617095205,0.6171444796027511,0.7954985591097564,0.6171444796027511,0.5588858912133415,0.9581351711607003,0.09585284338534034,0.36427047858835193,20.87239122390747,,22662,0,0,10800,clean,,0.7892190851648115,0.0,
A4 +Clipping,0.828408617095205,0.6171444796027511,0.7954985591097564,0.6171444796027511,0.5588858912133415,0.9581351652750932,0.09585284338534034,0.3642704941835834,21.219882249832153,,22662,0,0,10800,clean,,0.7892190855160329,0.0,
A5 +Similarity (duplicate-aware consensus),0.828408617095205,0.6171444796027511,0.7954985591097564,0.6171444796027511,0.5588858912133415,0.9581351652750932,0.09585284338534034,0.3642704941835834,20.86341905593872,,22662,0,0,10800,clean,,0.7892190855160329,0.0,
A6 +Gate (no probation),0.5900764419735928,0.6418706437977583,0.7020261719367854,0.6418706437977583,0.5148740642266116,0.9575196892139459,0.08173600110189837,0.6479757752804601,21.115392446517944,,22662,1,0,10800,clean,,0.7892190855160329,0.015384615384615385,
"A7 +Probation (full AgriTrust, symmetric memory)",0.5900764419735928,0.6418706437977583,0.7020261719367854,0.6418706437977583,0.5148740642266116,0.9575196892139459,0.08173600110189837,0.6479757752804601,20.62760877609253,,22662,1,0,10800,clean,,0.7892190855160329,0.015384615384615385,
