Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,PoisonRatio,AttackType,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold
RawTrust,8,7,1,False,0.7070450484752655,0.9941666582373353,0.37049973011016846,1.0,10.0,0.8239426264919055,0.8164966121458144,1.3496153354644775,0.0,none,,,,,
RawTrust,8,8,0,False,0.30706456303596497,0.7405838494436927,0.831190288066864,1.0,10.0,0.4594113508376429,0.4683348219139356,1.7084745168685913,0.0,none,,,,,
RawTrust,8,9,3,False,0.7102090716362,0.48996103146454417,0.49514657258987427,1.0,10.0,0.6422538628899673,0.6715754704577483,0.7826325297355652,0.0,none,,,,,
RawTrust,9,0,2,False,0.8030196726322174,0.8931071182764847,0.818044900894165,1.0,8.0,0.8350948206505829,0.7920728986121863,1.4869362115859985,0.0,none,,,,,
RawTrust,9,1,2,False,0.6185920536518097,0.790070992632878,0.44158735871315,1.0,8.0,0.6847236314625569,0.751996179850344,1.2967989444732666,0.0,none,,,,,
RawTrust,9,2,2,False,0.8091964423656464,0.7075103203272984,0.818044900894165,1.0,8.0,0.7949237709189335,0.7713230444330245,1.6292611360549927,0.0,none,,,,,
RawTrust,9,3,2,False,0.29392510652542114,0.5636730669541007,0.8600271940231323,1.0,8.0,0.41707435210718996,0.4770087811994818,1.781237006187439,0.0,none,,,,,
RawTrust,9,6,0,False,0.7853233814239502,0.20368756923783762,0.39988672733306885,1.0,8.0,0.5344107483613322,0.6031266045599999,0.761854887008667,0.0,none,,,,,
RawTrust,9,7,2,False,0.6770401298999786,0.8931071182764846,0.26563650369644165,1.0,8.0,0.779062513890015,0.8071380875818646,1.360700249671936,0.0,none,,,,,
RawTrust,9,8,1,False,0.2914130985736847,0.6350879152315799,0.8600271940231323,1.0,8.0,0.42626851700174956,0.4578182456858891,1.6997824907302856,0.0,none,,,,,
RawTrust,9,9,4,False,0.7456880360841751,0.2188373122899524,0.5328137874603271,1.0,8.0,0.5180106666148357,0.6331842694970202,0.783606231212616,0.0,none,,,,,
RawTrust,10,0,0,False,0.6884818822145462,0.6703211766312753,0.41679203510284424,1.0,9.0,0.7040298757377146,0.7700621428935683,1.6764881610870361,0.0,none,,,,,
RawTrust,10,1,3,False,0.7204848229885101,1.0,0.5441128015518188,1.0,9.0,0.7991655542180891,0.7637885234422802,1.3225287199020386,0.0,none,,,,,
RawTrust,10,3,4,False,0.3942745104432106,0.6951383271416937,0.706798791885376,1.0,9.0,0.5220183603389597,0.48826117598435126,1.640739917755127,0.0,none,,,,,
RawTrust,10,4,0,False,0.8088863790035248,0.16220156910984942,0.6970392465591431,1.0,9.0,0.5117275317278778,0.5420092367904228,0.4498351812362671,0.0,none,,,,,
RawTrust,10,5,0,False,0.6900827586650848,0.06888624403679257,0.31292372941970825,1.0,9.0,0.3582265151259785,0.3893224647366704,0.2707345485687256,0.0,none,,,,,
RawTrust,10,6,2,False,0.630123645067215,0.39228255228697306,0.37520116567611694,1.0,9.0,0.5763323680440793,0.5964280454310198,0.7593699097633362,0.0,none,,,,,
RawTrust,10,7,6,False,0.728586807847023,0.8815529455739418,0.41679203510284424,1.0,9.0,0.8079836146705717,0.8073494693540413,1.425170660018921,0.0,none,,,,,
RawTrust,10,8,0,False,0.32854971289634705,0.6752776168239691,0.706798791885376,1.0,9.0,0.46379752054045953,0.4593130643995317,1.6691815853118896,0.0,none,,,,,
RawTrust,10,9,2,False,0.8098820745944977,0.29104223234221477,0.6970392465591431,1.0,9.0,0.5904928333516148,0.6225114104606688,0.6361933946609497,0.0,none,,,,,
AgriTrust-ACFL,1,0,0,False,0.7118769139051437,0.6518021065425386,0.8040083646774292,1.0,7.0,0.7110870198211107,0.7025689127103724,1.3217952251434326,0.0,none,True,False,5186.3637136279685,1.959047019481659,0.5691639251338593
AgriTrust-ACFL,1,1,0,False,0.7289343178272247,0.7944917751514738,0.48758161067962646,1.0,7.0,0.7506690950435144,0.7362750980813986,1.0378786325454712,0.0,none,True,False,14893.37268399053,1.959047019481659,0.5691639251338593
AgriTrust-ACFL,1,2,0,False,0.780993789434433,0.6703205947996332,0.8040083646774292,1.0,7.0,0.767038048997485,0.7681902190223242,1.2773276567459106,0.0,none,True,False,9449.50788419361,1.959047019481659,0.5691639251338593
AgriTrust-ACFL,1,4,0,False,0.8083064556121826,0.6063055000885375,0.42103689908981323,1.0,7.0,0.7597284834461148,0.710643379333176,0.4252658486366272,0.0,none,True,False,547.1954020865455,1.959047019481659,0.5691639251338593
AgriTrust-ACFL,1,5,0,False,0.6157387048006058,0.4359341008808746,0.35624098777770996,1.0,7.0,0.5852165932529334,0.5570740508143943,0.2842196226119995,0.0,none,False,False,0.0,1.959047019481659,0.5691639251338593
AgriTrust-ACFL,1,8,0,False,0.26630017161369324,1.0,0.1644008606672287,1.0,7.0,0.46484419417717826,0.5391172935957914,0.7836188077926636,0.0,none,False,False,0.0,1.959047019481659,0.5691639251338593
AgriTrust-ACFL,1,9,0,False,0.8390293121337891,0.8764728570118353,0.48758161067962646,1.0,7.0,0.8380980097666862,0.8162900748177674,0.6670514941215515,0.0,none,True,False,886.4910212520954,1.959047019481659,0.5691639251338593
AgriTrust-ACFL,2,0,0,False,0.7986737787723541,0.6703211994261454,0.5207526683807373,1.0,7.0,0.7639296986712528,0.7179091092005925,1.0783244371414185,0.0,none,True,False,5299.605044118774,2.1366314589977264,0.5967838852223768
AgriTrust-ACFL,2,2,0,False,0.8353872001171112,1.0,0.5207526683807373,1.0,7.0,0.8974582802558627,0.8005072343307088,0.8546525835990906,0.0,none,True,False,9847.039489502049,2.1366314589977264,0.5967838852223768
AgriTrust-ACFL,2,3,1,False,0.44373661279678345,0.9527801426211991,0.0342048779129982,1.0,7.0,0.6123388673650371,0.5955772721705562,0.8790194988250732,0.0,none,False,False,0.0,2.1366314589977264,0.5967838852223768
AgriTrust-ACFL,2,4,1,False,0.568136915564537,0.3389704832172239,0.33889150619506836,1.0,7.0,0.5256320649260953,0.6643905507314058,0.45575547218322754,0.0,none,True,False,326.19827148973553,2.1366314589977264,0.5967838852223768
AgriTrust-ACFL,2,6,1,False,0.7409708201885223,0.8144708990669679,0.4819677472114563,1.0,7.0,0.7844448495867419,0.745128948266125,0.7585650086402893,0.0,none,True,False,488.4184194348838,2.1366314589977264,0.5967838852223768
AgriTrust-ACFL,2,7,1,False,0.7895103394985199,0.6218569199046917,0.3107892572879791,1.0,7.0,0.7605315936556819,0.7685084854837824,1.126396656036377,0.0,none,True,False,4584.651867599317,2.1366314589977264,0.5967838852223768
AgriTrust-ACFL,2,9,1,False,0.5417785570025444,0.6608809790617671,0.33889150619506836,1.0,7.0,0.6053894063108821,0.763564907691046,0.6718153357505798,0.0,none,True,False,528.7413420774407,2.1366314589977264,0.5967838852223768
AgriTrust-ACFL,3,1,0,False,0.6318788230419159,0.863617348797646,0.6777230501174927,1.0,9.0,0.7115216087516361,0.7300867257489579,1.335654377937317,0.0,none,True,False,14768.194288449922,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,3,2,2,False,0.31806086003780365,0.9082196266597242,0.3118835985660553,1.0,9.0,0.5126416175950722,0.7285408301467997,1.2757306098937988,0.0,none,True,False,3643.588150862411,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,3,3,0,False,0.796500563621521,0.6703207814007578,0.89333575963974,1.0,9.0,0.7601727116559284,0.6367261320418992,1.6826725006103516,0.0,none,True,False,16749.7176294942,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,3,4,1,False,0.8301984071731567,0.4470969154873319,0.5606992840766907,1.0,9.0,0.7036467328161401,0.6742045962525894,0.561012327671051,0.0,none,True,False,331.0167095030508,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,3,5,0,False,0.8281627297401428,0.22001474849356786,0.5606992840766907,1.0,9.0,0.5610757419542947,0.5580744735993695,0.29394182562828064,0.0,none,True,False,257.27233232930934,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,3,6,2,False,0.3963986784219742,0.6203763076223698,0.3118835985660553,1.0,9.0,0.5124817522964626,0.6869671492737094,0.756211519241333,0.0,none,True,False,287.12040013691046,2.921379506587982,0.5502013112196018
AgriTrust-ACFL,3,7,2,False,0.6699487715959549,1.0,0.35756975412368774,1.0,9.0,0.8012834889281925,0.7767022363448849,1.1685518026351929,0.0,none,True,False,2954.4710243208992,2.921379506587982,0.5502013112196018
