Method,Round,Client,Staleness,Malicious,DirectionScore,NormScore,MaxSimilarity,SimilarityScore,ConsensusVotes,InstantTrust,UpdatedTrust,UpdateNorm,Accepted,Probation,AggregationWeight,ClipCap,EffectiveThreshold,TrustUpdate,UsedForCalibration
AgriTrust-ACFL,9,7,1,False,0.6756303459405899,0.8476781163273711,0.32726287841796875,1.0,8,0.7660773802065518,0.771257642103073,1.2345809936523438,True,False,4601.052370999119,2.5425583124160767,0.0,symmetric,True
AgriTrust-ACFL,9,8,0,False,0.24952083826065063,0.6409297537106298,-0.1790715456008911,1.0,8,0.39246867304820465,0.6013580715754405,0.5535534024238586,True,False,15819.325430863539,2.5425583124160767,0.0,symmetric,True
AgriTrust-ACFL,9,9,2,False,0.8545131981372833,0.8476781163273711,0.7787972688674927,1.0,8,0.8381282170632287,0.8324489669081809,0.7994656562805176,True,False,367.5550636448178,2.5425583124160767,0.0,symmetric,True
AgriTrust-ACFL,10,1,4,False,0.8167373836040497,0.17715406056548735,0.6312997937202454,1.0,7,0.509440852759145,0.7121071621752362,1.318121075630188,True,False,2381.0484431060117,2.0570535957813263,0.0,symmetric,True
AgriTrust-ACFL,10,2,0,False,0.7262156456708908,0.15821205893483503,0.4379138946533203,1.0,7,0.4778965827328701,0.7327160498154719,1.3593358993530273,True,False,9013.14012878012,2.0570535957813263,0.0,symmetric,True
AgriTrust-ACFL,10,3,0,False,0.41690831631422043,0.7050260049994208,0.8761229515075684,1.0,7,0.5405787506343316,0.6446589280492299,0.9049705266952515,True,False,16958.39776126304,2.0570535957813263,0.0,symmetric,True
AgriTrust-ACFL,10,5,2,False,0.6399725824594498,0.016337840928851603,0.09460870921611786,1.0,7,0.22318730123859218,0.5135741307005858,0.26842084527015686,True,False,96.25848706200563,2.0570535957813263,0.0,symmetric,True
AgriTrust-ACFL,10,6,4,False,0.6451060473918915,0.7691758900852561,0.30189603567123413,1.0,7,0.7145192725302042,0.733622278304499,0.7660799026489258,True,False,124.662421493714,2.0570535957813263,0.0,symmetric,True
AgriTrust-ACFL,10,8,0,False,0.4034302830696106,1.0,0.8761229515075684,1.0,7,0.5841518922148644,0.5970565267352965,0.8228214383125305,True,False,15706.16899229871,2.0570535957813263,0.0,symmetric,True
AgriTrust-ACFL,10,9,0,False,0.7695013284683228,0.6703225080291303,0.6312997937202454,1.0,7,0.7373881275819064,0.8086837570766123,0.7379183173179626,True,False,878.2305601852009,2.0570535957813263,0.0,symmetric,True
AgriTrust-ACFL,1,0,0,False,0.7947403490543365,1.0,0.845609188079834,1.0,9,0.8589921949634631,0.901294536474424,2.5900585651397705,True,False,6653.356268254198,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,1,0,False,0.7871063351631165,0.6703215457010187,0.5104924440383911,1.0,9,0.7441259059956237,0.8208881341969365,3.097116708755493,True,False,16604.925178535632,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,2,0,False,0.8096384406089783,0.8975206728069973,0.845609188079834,1.0,9,0.8539833899766819,0.8977883729836773,2.7183024883270264,True,False,11043.694776072214,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,4,0,False,0.7407343685626984,0.03044979284085326,0.5002460479736328,1.0,9,0.29517108107487444,0.5066197567524121,0.5438783168792725,True,False,390.0972126993573,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,5,0,False,0.6977164149284363,0.0076006727817274685,0.5002460479736328,1.0,9,0.18603786946954007,0.43022650862867806,0.29247739911079407,True,False,198.33442047782057,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,6,0,False,0.5800812840461731,0.06428825549013109,0.22350600361824036,1.0,9,0.3200866034618705,0.5240606224233093,0.759570300579071,True,False,538.734319851162,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,7,0,False,0.7808342576026917,0.8821825722625568,0.46496284008026123,1.0,9,0.8395338877550916,0.8876737214285642,2.7393269538879395,True,False,8305.075337685646,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,8,0,False,0.6893922984600067,0.8098892744571853,0.4124302864074707,1.0,9,0.7362704065549805,0.8153892845884863,2.846043348312378,True,False,21449.63052038472,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,1,9,0,False,0.7426494359970093,0.06699391696318724,0.5104924440383911,1.0,9,0.36235776833452077,0.5536504378341645,0.7736964225769043,True,False,601.2643754879026,6.475146412849426,0.0,asymmetric,False
AgriTrust-ACFL,2,0,1,False,0.7444239109754562,1.0,0.5556972026824951,1.0,9,0.8286411493689956,0.8504371655006241,2.566246271133423,True,False,4002.983088321456,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,1,1,False,0.7656551599502563,0.6703214201755237,0.40991196036338806,1.0,9,0.7329026518738895,0.7592982965708036,3.1191723346710205,True,False,9793.385580456868,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,2,0,False,0.6687472462654114,0.5588114413826152,0.5556972026824951,1.0,9,0.6668830208700339,0.7361546265041269,1.932019591331482,True,False,9055.438060627264,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,3,1,False,0.8040836751461029,0.7617856099274517,0.9414955377578735,1.0,9,0.7940368107522795,0.8558257675265957,2.930499315261841,True,False,14355.147431006015,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,4,1,False,0.7194520831108093,0.04109781361193902,0.3953693211078644,1.0,9,0.31781967342275674,0.37445969842165333,0.5408834218978882,True,False,183.84985492831302,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,5,0,False,0.7300693094730377,0.011651023771092327,0.44437795877456665,1.0,9,0.21681124647157873,0.2808358251187085,0.29244837164878845,True,False,129.46531537972464,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,6,1,False,0.5861960202455521,0.08041108267358078,0.2566317021846771,1.0,9,0.34429243904475915,0.3982228940583242,0.7504110932350159,True,False,261.0278354522952,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,7,1,False,0.8143322467803955,0.8551826051111088,0.44437795877456665,1.0,9,0.8511809046256785,0.8821997989081314,2.7697513103485107,True,False,5262.894336311473,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,2,8,1,False,0.7866602838039398,0.8010404932869205,0.9414955377578735,1.0,9,0.7891007028786673,0.8114459973320134,2.859543800354004,True,False,13610.745745206577,6.415615677833557,0.0,asymmetric,False
AgriTrust-ACFL,3,0,2,False,0.6941904425621033,0.5206765782822063,0.37986332178115845,1.0,8,0.6556151525728635,0.7140617564511917,2.5747878551483154,True,False,2143.111570404229,2.2687631845474243,0.0,asymmetric,True
AgriTrust-ACFL,3,1,1,False,0.7251827716827393,0.6117975490000083,0.3901352286338806,1.0,8,0.6921042705439199,0.712262478351985,1.9846895933151245,True,False,9186.720313341766,2.2687631845474243,0.0,asymmetric,True
AgriTrust-ACFL,3,4,1,False,0.7768985629081726,0.724823076662763,0.43726903200149536,1.0,8,0.7842492448369166,0.43592813038394285,0.534155547618866,True,False,214.02923697281963,2.2687631845474243,0.0,asymmetric,True
