Method,Round,SelectedClients,MeanStaleness,ValMacroF1,MeanLocalLoss
TrimmedMean,2,10,0.0,0.47637750950935387,0.6763855304160297
TrimmedMean,3,10,0.0,0.5396755524707851,0.5166526956136089
TrimmedMean,4,10,0.0,0.5319912947563182,0.43889564587183827
TrimmedMean,5,10,0.0,0.5660895655089655,0.39568383349567565
TrimmedMean,6,10,0.0,0.569342524979832,0.3679839407151903
TrimmedMean,7,10,0.0,0.5692727176524203,0.35317902488761044
TrimmedMean,8,10,0.0,0.5813098081385603,0.34007960306727597
TrimmedMean,9,10,0.0,0.6012535420890752,0.3333256203117462
TrimmedMean,10,10,0.0,0.5970406518786572,0.3242288816874497
TrimmedMean,11,10,0.0,0.5834753360126669,0.3090086417521737
TrimmedMean,12,10,0.0,0.5934531428086588,0.31589209304585686
TrimmedMean,13,10,0.0,0.5971688822163536,0.30728384702532174
TrimmedMean,14,10,0.0,0.6038476350158991,0.29653102935998454
TrimmedMean,15,10,0.0,0.6024933145977119,0.29855871633744224
TrimmedMean,16,10,0.0,0.6128929406942122,0.30303892754321965
TrimmedMean,17,10,0.0,0.6028179526577534,0.29263802266169947
TrimmedMean,18,10,0.0,0.6173858368363633,0.2826537250751294
TrimmedMean,19,10,0.0,0.6268575578922942,0.2855600013861962
TrimmedMean,20,10,0.0,0.6213926997692438,0.27970803796161137
TrimmedMean,21,10,0.0,0.6373954183841718,0.28431037655857644
TrimmedMean,22,10,0.0,0.6389861031916214,0.2818711664962454
TrimmedMean,23,10,0.0,0.6376440417861072,0.2715487643492328
TrimmedMean,24,10,0.0,0.6424365208669235,0.28094457737364065
TrimmedMean,25,10,0.0,0.643200849401825,0.26320419157930025
TrimmedMean,26,10,0.0,0.6474114920336894,0.2664717353797544
TrimmedMean,27,10,0.0,0.6428258184262777,0.2674892407623947
TrimmedMean,28,10,0.0,0.6404504028141307,0.2695203717816706
TrimmedMean,29,10,0.0,0.6441926119274425,0.26693221371026954
TrimmedMean,30,10,0.0,0.6437667845859367,0.255034989484654
TrimmedMean,31,10,0.0,0.6453847116819426,0.2589398021298135
TrimmedMean,32,10,0.0,0.646244086136218,0.26603107970059636
TrimmedMean,33,10,0.0,0.6482696848129169,0.2523441505966927
TrimmedMean,34,10,0.0,0.6470274558793053,0.26274788980698033
TrimmedMean,35,10,0.0,0.6508435707024057,0.25727098655282077
TrimmedMean,36,10,0.0,0.6429201048578542,0.25840921385307236
TrimmedMean,37,10,0.0,0.6489961209427628,0.2613731105017342
TrimmedMean,38,10,0.0,0.645813117545965,0.2723536267946941
TrimmedMean,39,10,0.0,0.6457751583425448,0.2628141923945492
TrimmedMean,40,10,0.0,0.6461096645803527,0.25942930953318366
MultiKrum,1,10,0.0,0.32585514892593587,0.9115127721822572
MultiKrum,2,10,0.0,0.3882141888607895,0.7657739237127817
MultiKrum,3,10,0.0,0.4050221086751767,0.6877477668322459
MultiKrum,4,10,0.0,0.4517659598084327,0.6630022255186658
MultiKrum,5,10,0.0,0.45855354936038545,0.6799003484598631
MultiKrum,6,10,0.0,0.46841006835769256,0.6848457897658616
MultiKrum,7,10,0.0,0.4860734211136503,0.7020514425515797
MultiKrum,8,10,0.0,0.49744715318827265,0.717291138489291
MultiKrum,9,10,0.0,0.504817221925716,0.720768519524954
MultiKrum,10,10,0.0,0.5066611699649722,0.713315908223978
MultiKrum,11,10,0.0,0.5165500185529094,0.6828916545101031
MultiKrum,12,10,0.0,0.5188374098015852,0.6684076578856533
MultiKrum,13,10,0.0,0.5191051337831482,0.6698246880436471
